Emotion,EigenFace 1,EigenFace 2,EigenFace 3,EigenFace 4,EigenFace 5,EigenFace 6,EigenFace 7,EigenFace 8,EigenFace 9,EigenFace 10,EigenFace 11,EigenFace 12,EigenFace 13,EigenFace 14,EigenFace 15,EigenFace 16,EigenFace 17,EigenFace 18,EigenFace 19,EigenFace 20,EigenFace 21,EigenFace 22,EigenFace 23,EigenFace 24,EigenFace 25,EigenFace 26,EigenFace 27,EigenFace 28,EigenFace 29,EigenFace 30
neutral,3128.7,1892.32,3108.33,-3333.91,-1817.46,126.367,-2670.17,-2580.51,-1881.52,58.0525,2700.62,1089.37,-414.427,-649.159,-2324.71,2615.89,1011.83,-209.481,-2092.79,-665.616,798.387,-3374.54,694.379,1451.12,-647.445,-572.767,-786.435,906.251,-593.827,-1525.97
neutral,2768.61,5489.17,6044.03,-1168.77,-931.647,1012.09,-896.615,-489.872,-812.333,-2005.08,1606.85,744.818,-925.519,-992.108,-498.166,-660.425,911.938,-2269.04,-1073.92,1266.04,576.161,249.624,-1269.19,-874.125,-813.602,-341.607,-1506.44,458.538,159.766,391.407
neutral,-497.572,5500.59,3984.67,3109.94,-1749.46,-1780.98,-13.8441,-1680.1,-1744.36,2635.24,728.351,713.895,-1057.34,-945.902,3065.75,-96.866,739.037,-669.638,393.405,-220.376,-641.233,258.788,89.7378,-525.828,384.517,639.389,-1195.8,-765.47,595.599,153.883
neutral,-2041.48,3506.84,712.587,-731.973,-639.307,-3407.57,573.361,-796.354,350.899,-750.57,-719.09,-1001.17,1833.12,-394.624,1901.25,997.66,2779.32,-622.669,-1780.04,1107.69,-1233.34,-88.9904,-63.1474,-151.006,-641.181,1151.12,-501.151,167.389,103.615,-59.145
neutral,3765.87,5533.78,586.349,-639.232,-1385.63,1003.54,-2356.77,195.079,-1715.33,2076.6,176.101,1162.09,-2500.31,-22.5829,1617.02,-611.772,-781.356,-1902.26,-1104.42,239.185,-660.404,251.676,-31.087,-225.214,-1214.94,-106.876,-825.709,693.579,1406.14,94.8775
neutral,829.823,4669.45,2800.2,718.232,-2899.45,-1007.33,5023.38,637.757,-2790.59,730.533,-1977.12,1360.46,-1798.72,665.663,-356.015,-118.699,1077.45,-1639.19,2242.19,-131.209,466.864,207.584,450.44,-476.598,-610.933,356.484,376.612,251.999,289.703,-226.331
neutral,1435.4,1676.05,2006.12,-840.623,-1876.44,-1319.11,1181.55,-580.819,1360.5,-1277.7,-1568.1,1691.66,-498.209,1724.1,-1207.04,1961.52,102.517,190.455,-301.619,-642.536,-1197.61,0.75119,-1053.53,1072.18,326.889,304.103,836,193.834,614.154,519.929
neutral,42.8491,4422.72,2091.25,1654.37,-307.017,-2442.35,-178.639,2366.12,-263.825,-232.977,-682.629,562.987,2340.17,1941.58,-327.318,-85.0281,857.078,-1252.02,438.943,328.011,-425.067,398.244,-443.358,-652.647,-561.133,92.2664,-706.013,432.731,-227.311,-487.479
neutral,-4967.35,5790.6,-2528.82,553.405,127.044,-961.899,4127.61,1969.9,-1436.42,-808.45,-2231.92,-2212.55,-808.255,-3516.99,1321.11,-1214.21,-827.062,-1888.46,51.5766,2017.8,-742.418,85.3555,752.526,996.474,-63.1305,1907.74,229.697,-860.272,11.1852,478.782
neutral,-860.881,4362.56,824.487,1801.18,1319.99,-346.842,2201.93,887.518,-1761.53,1679.05,-3959.68,-400.224,178.148,-2184.71,-1063.43,-1021.13,558.225,969.954,1371.54,1458.34,1132.7,-99.2636,70.5525,115.826,246.024,1093.25,-14.0292,77.5483,-1582.59,802.287
neutral,-3008.31,6104.26,1052.71,1196.19,1186.6,-1174.78,1829.47,-642.65,-2831.86,-1799.01,-410.818,-1743.57,475.885,-736.259,-989.312,1793.58,2852.43,1933.71,2463.44,302.539,-2203.55,557.483,-295.004,467.842,922.837,-75.7024,1584.28,290.317,-345.24,-264.825
neutral,-479.801,1146.17,2981.09,-6572.88,500.129,-731.063,3305.75,-1167.2,1482.12,-2408.32,590.642,1724.34,795.152,920.623,-1857.99,-1967.16,-622.226,1420.05,661.478,128.777,-1673.26,-1006.49,165.023,842.608,436.971,7.86281,-893.561,857.294,800.606,-401.546
neutral,2332.54,6117.85,2861.84,-247.52,-2063.92,2047.52,1753.43,2686.24,-348.819,71.6754,4689.75,-311.629,-667.531,-15.8417,-508.454,948.584,740.896,515.835,-245.019,1038.61,-1664.99,873.445,-259.342,479.948,1343.86,-696.185,-718.603,-984.545,420.076,159.562
neutral,1915.42,4558.7,6055.05,4287.7,-2004.26,431.105,-2240.49,642.105,-2173.27,-249.882,-2205.82,1078.75,-227.909,482.578,229.366,-204.944,998.196,-1033.57,-333.676,-317.063,-60.0019,-371.366,289.317,632.107,466.389,564.288,303.229,682.847,51.3191,-87.1895
neutral,-64.7972,1536.28,-2685.02,134.226,-1610.76,-1648.73,-439.219,-3401.6,-2233.56,-1040.49,-1536.46,1204.65,-606.717,-2825.47,-1703.27,2648.13,263.775,-2095.22,-498.07,770.659,-1174.58,-2766.41,1294.54,966.718,482.604,1631.94,-598.904,-1270.77,-316.15,-428.58
neutral,3906.27,2678.99,-3466.51,-1077.21,-792.215,757.238,-2064.08,2061.11,2033.78,-448.519,-1300,-209.319,-37.6183,1808.16,136.895,-974.378,-663.042,-1325.31,331.649,644.516,431.113,-795.591,-387.142,535.928,-691.155,-523.829,748.793,-369.298,99.8322,-755.805
neutral,1085.15,73.1807,-453.694,-4290.96,2675.47,-2353.83,1191.03,-3177.06,-751.587,1752.25,830.736,-798.687,-660.427,-844.509,-815.012,948.891,306.861,-1934.73,-2660.76,76.0885,-497.514,711.644,1134.66,-2126.14,655.141,-384.1,767.1,69.7817,-2404.89,-1369.89
neutral,1163.81,2587.12,-52.1361,-3321.85,-19.1084,-530.939,2742.83,1844.55,1045.19,1104.5,1489.59,1747.19,-1002.04,-808.867,-1595.41,952.756,59.3189,-41.18,-936.171,682.518,-151.71,942.827,186.539,713.756,-309.033,-697.388,-999.921,-586.85,316.22,-335.487
neutral,3343.69,3078.8,-2728.7,-1744.47,191.796,-1695.3,-2382.65,-630.94,-1767.87,-1953.81,2005.3,50.266,-724.135,1224.44,1330.93,1101.98,18.6971,-567.374,412.85,-73.4618,-594.336,384.629,-694.614,-243.917,836.198,-996.043,999.636,635.074,-13.2433,-415.965
neutral,-175.686,2516.91,-303.729,1176.84,732.023,730.049,2496.13,2893.41,3985.61,2049.85,-93.9495,363.99,-2802.61,-279.072,-529.268,1807.8,-757.227,-790.908,-115.418,-238.614,44.2056,-1196.58,193.174,692.39,228.607,-1302.9,-313.709,466.81,95.4707,234.007
neutral,197.829,2771.53,-807.656,2082.32,737.379,-2027.92,594.322,-965.775,-2530,2878.87,1009.89,461.438,-1209.35,-122.772,761.273,92.0532,1902.03,2077.92,202.569,64.1822,1260.24,20.0607,-777.992,-139.435,-367.845,1279.15,1173.68,-68.5339,-715.622,-607.961
neutral,1430.86,4293.6,-2467.05,1864.71,-774.053,-1661.14,-1368.23,-2178.43,-1150.23,870.153,62.7857,760.018,-996.884,924.032,456.918,-1083.6,815.857,-697.34,174.187,314.776,385.223,-605.13,-651.492,-68.5886,-411.537,1098.08,-69.0542,711.129,537.781,605.566
neutral,3667.46,4583.08,-1126.76,725.142,-2286.79,-1399.9,-1881.38,1.89367,-2004.84,257.675,2226.46,644.545,301.352,917.232,1657.61,-234.121,149.916,-71.9119,-72.918,-167.324,-613.698,-251.19,-985.223,260.734,882.939,-610.043,-205.902,-147.527,197.042,-294.48
neutral,2181.54,3045.95,-877.374,1014.51,-2248.28,320.615,503.883,225.92,2495.49,-99.8519,263.023,989.069,1566.62,320.587,-563.538,-833.606,970.551,-1119.3,395.301,801.11,213.11,1203.72,1703.16,191.91,-1042.2,632.301,858.855,-1017.38,-251.959,83.5642
neutral,-145.562,4485.62,-240.281,-533.038,-633.668,-1240.05,2486.47,-1357.28,1560.23,3697.47,706.785,94.1185,-670.62,-305.635,-141.647,796.368,1085.82,-313.918,-583.498,-287.122,34.7778,1553.68,-532.523,9.05337,-847.828,230.837,327.75,402.724,123.672,-343.21
neutral,2428.72,1450.21,1727.78,-4302.21,547.701,1151.89,2431.25,200.46,499.597,816.153,309.019,1195.87,1974.02,565.625,-1873.11,-767.596,1253.04,-1400.06,1215.36,-1129.95,-747.934,2412.86,683.471,1575.02,1295.25,-734.742,263.56,-2489.78,-1451.38,-309.494
neutral,2028.25,-1328.54,-1692.35,1962.49,-523.641,-1847.37,-2228.09,819.615,-1394.88,-3626.24,-3907.96,590.282,-703.744,483.322,401.768,1087.21,359.658,-591.667,-7.50957,-354.44,34.7469,-643.126,-1844.78,472.093,828.609,-1926.06,761.332,-491.839,-521.755,-768.304
neutral,2356.9,3501.85,-3238.81,616.703,72.5779,-1614.22,-2204.26,885.715,-870.192,-2086.46,-3142.43,-686.554,1275.7,1405.82,-579.35,-118.857,-953.67,-900.856,-192.105,-528.692,811.888,144.733,-1102.37,1875.12,-584.002,-1705.49,-540.499,669.181,764.873,-2430.42
neutral,4000.81,3596.82,-1218.9,-1023.8,-2248.91,-124.046,997.086,1643.66,-2330.04,-370.336,2845.08,1329.34,-747.104,-74.899,264.299,358.697,987.809,788.432,152.747,93.1535,782.202,-187.151,299.42,-517.524,509.963,-251.24,1124.7,-2039.05,-526.598,64.6714
neutral,1634.76,1193.96,3756.25,-6787.52,2480.86,239.442,-2345.74,3637.92,-4176.61,857.555,-1197.33,2357.92,482.842,1598.82,2733.66,964.766,-1269.28,-628.759,2706.9,-77,-689.679,391.075,-234.276,-138.036,-935.182,115.967,-231.707,-1798.53,-1280.72,62.8349
